"filename", "language", "JavaScript", "CSS", "HTML", "JSON", "JSON with Comments", "TypeScript", "Markdown", "comment", "blank", "total"
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\src\main.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\src\styles.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\tsconfig.app.json", "JSON", 0, 0, 0, 13, 0, 0, 0, 2, 1, 16
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 30, 0, 0, 2, 1, 33
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\tsconfig.spec.json", "JSON", 0, 0, 0, 13, 0, 0, 0, 2, 1, 16
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 14, 0, 14, 28
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\angular.json", "JSON", 0, 0, 0, 99, 0, 0, 0, 0, 1, 100
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\db.json", "JSON", 0, 0, 0, 16, 0, 0, 0, 0, 0, 16
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\package-lock.json", "JSON", 0, 0, 0, 14258, 0, 0, 0, 0, 1, 14259
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\package.json", "JSON", 0, 0, 0, 38, 0, 0, 0, 0, 1, 39
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\src\app\add\add.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\src\app\add\add.component.html", "HTML", 0, 0, 49, 0, 0, 0, 0, 0, 1, 50
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\src\app\add\add.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 0, 0, 6, 24
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\src\app\add\add.component.ts", "TypeScript", 0, 0, 0, 0, 0, 31, 0, 0, 3, 34
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\src\app\api.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 12, 0, 0, 5, 17
